"id_user","location_latitude","location_longitude"
477001,33.8554,-83.8395
477003,33.9264,-84.0600
477109,33.7263,-84.1619
477116,33.6122,-84.6103
477155,33.7041,-85.0927
477200,33.5650,-83.8316
477201,33.7182,-84.5457
477216,33.7123,-84.0491
477217,33.8845,-84.2007
477218,33.9086,-84.5542
477248,33.8033,-84.2237
477251,33.9985,-83.8303
477252,33.6721,-84.4252
477253,33.9040,-84.0253
477272,33.8387,-84.4787
477273,34.0125,-84.3001
477274,33.7160,-84.3360
477279,34.3205,-84.0742
477280,33.5541,-82.0885
477404,NULL,NULL
477507,33.5265,-84.3343
477508,33.7963,-84.7503
477509,34.3520,-84.0018
477510,33.7526,-84.2059
477511,33.4480,-84.1844
477553,33.6647,-84.2011
477570,34.1905,-84.7906
477579,33.9794,-83.8822
477580,33.9561,-84.0910
477624,33.8829,-84.5781
